dataset,model,k_features,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
Doppler,Coarse Gaussian SVM,20,0.7777777777777778,0.7222222222222222,0.5,0.8333333333333334,0.6,0.5454545454545454,20,4,6,6,2
Doppler,Coarse Gaussian SVM,20,0.894927536231884,0.8285714285714286,0.6666666666666666,0.9130434782608695,0.8,0.7272727272727273,21,2,4,8,3
Doppler,Coarse Gaussian SVM,20,0.8405797101449275,0.8,0.5,0.9565217391304348,0.8571428571428571,0.631578947368421,22,1,6,6,4
Doppler,Fine KNN,20,0.7083333333333334,0.7777777777777778,0.5,0.9166666666666666,0.75,0.6,22,2,6,6,0
Doppler,Fine KNN,20,0.6250000000000001,0.6388888888888888,0.5833333333333334,0.6666666666666666,0.4666666666666667,0.5185185185185185,16,8,5,7,1
Doppler,Fine KNN,20,0.6458333333333334,0.6944444444444444,0.5,0.7916666666666666,0.5454545454545454,0.5217391304347826,19,5,6,6,2
Doppler,Fine KNN,20,0.7463768115942029,0.7714285714285715,0.6666666666666666,0.8260869565217391,0.6666666666666666,0.6666666666666666,19,4,4,8,3
Doppler,Fine KNN,20,0.6829710144927537,0.7142857142857143,0.5833333333333334,0.782608695652174,0.5833333333333334,0.5833333333333334,18,5,5,7,4
Doppler,Medium KNN,20,0.8784722222222222,0.8055555555555556,0.5,0.9583333333333334,0.8571428571428571,0.631578947368421,23,1,6,6,0
Doppler,Medium KNN,20,0.6875000000000001,0.6111111111111112,0.6666666666666666,0.5833333333333334,0.4444444444444444,0.5333333333333333,14,10,4,8,1
Doppler,Medium KNN,20,0.8020833333333334,0.6666666666666666,0.5833333333333334,0.7083333333333334,0.5,0.5384615384615384,17,7,5,7,2
Doppler,Medium KNN,20,0.9003623188405797,0.8285714285714286,0.8333333333333334,0.8260869565217391,0.7142857142857143,0.7692307692307693,19,4,2,10,3
Doppler,Medium KNN,20,0.8568840579710144,0.8,0.75,0.8260869565217391,0.6923076923076923,0.72,19,4,3,9,4
Doppler,Coarse KNN,20,0.8229166666666665,0.6666666666666666,0.0,1.0,0.0,0.0,24,0,12,0,0
Doppler,Coarse KNN,20,0.6822916666666666,0.6666666666666666,0.0,1.0,0.0,0.0,24,0,12,0,1
Doppler,Coarse KNN,20,0.7534722222222223,0.6666666666666666,0.0,1.0,0.0,0.0,24,0,12,0,2
Doppler,Coarse KNN,20,0.8460144927536233,0.6571428571428571,0.0,1.0,0.0,0.0,23,0,12,0,3
Doppler,Coarse KNN,20,0.8061594202898551,0.6571428571428571,0.0,1.0,0.0,0.0,23,0,12,0,4
Doppler,Cosine KNN,20,0.8541666666666666,0.8055555555555556,0.5833333333333334,0.9166666666666666,0.7777777777777778,0.6666666666666666,22,2,5,7,0
Doppler,Cosine KNN,20,0.7152777777777778,0.6388888888888888,0.6666666666666666,0.625,0.47058823529411764,0.5517241379310345,15,9,4,8,1
Doppler,Cosine KNN,20,0.7708333333333335,0.6944444444444444,0.5833333333333334,0.75,0.5384615384615384,0.56,18,6,5,7,2
Doppler,Cosine KNN,20,0.8804347826086957,0.8857142857142857,0.8333333333333334,0.9130434782608695,0.8333333333333334,0.8333333333333334,21,2,2,10,3
Doppler,Cosine KNN,20,0.8478260869565217,0.7714285714285715,0.6666666666666666,0.8260869565217391,0.6666666666666666,0.6666666666666666,19,4,4,8,4
Doppler,Weighted KNN,20,0.8854166666666667,0.8055555555555556,0.5,0.9583333333333334,0.8571428571428571,0.631578947368421,23,1,6,6,0
